SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,SSRN Downloads,SSRN Article Rank,SSRN Citations,Keywords
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=426862,426862,War and the Constitutional Text,,42,2003-Aug-09,None,{'John Yoo': 'University of California at Berkeley School of Law'},923,"40,281",1,"Constitutional law, War, Foreign relations, Separation of powers, Presidential power"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=331202,331202,The President\'s Constitutional Authority to Conduct Military Operations Against Terrorist Organizations and the Nations that Harbor or Support Them,,30,2002-Sep-16,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'Robert J. Delahunty': 'Government of the United States of America - Office of Legal Counsel'}",904,"41,435",7,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1158001,1158001,Andrew Jackson and Presidential Power,UC Berkeley Public Law Research Paper No. 1158001,52,2008-Jul-16,2008-Aug-13,{'John Yoo': 'University of California at Berkeley School of Law'},901,"41,624",none,"Andrew Jackson, Presidency, Executive Power, Separation of Powers"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3123894,3123894,Franklin Roosevelt and Presidential Power,"Chapman Law Review, Vol. 21, No. 1, 2018, UC Berkeley Public Law Research Pape",68,2018-Feb-28,2018-Apr-13,{'John Yoo': 'University of California at Berkeley School of Law'},858,"44,491",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3361722,3361722,A Defense of the Electoral College in the Time of Trump,"Pepperdine Law Review, Vol. 46, No. 4, 2019",70,2019-Apr-12,None,{'John Yoo': 'University of California at Berkeley School of Law'},829,"46,613",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1396754,1396754,The \'Bush Doctrine\': Can Preventive War Be Justified?,"Harvard Journal of Law and Public Policy, Vol. 32, 2009, U of St. Thomas Legal Studies Research Paper No. 09-08, UC Berkeley Public Law Research Paper No. 1396754",24,2009-Apr-29,2009-May-04,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",805,"48,531",none,"war, law of war, preventive war, international conflict, Bush Doctrine"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1544063,1544063,"Kant, Habermas and Democratic Peace","Chicago Journal of International Law, 2010, U of St. Thomas Legal Studies Research Paper No. 10-01, UC Berkeley Public Law Research Paper No. 1544063",38,2010-Jan-31,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",791,"49,666",1,"international law, world peace, kant, habermas, international security, democratic peace"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=461721,461721,Judicial Review and the War on Terrorism,,25,2003-Nov-12,None,{'John Yoo': 'University of California at Berkeley School of Law'},752,"53,156",2,"terrorism, judicial review, constitutional law, international law"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=956953,956953,Executive Power v. International Law,"Harvard Journal of Law and Public Policy, 2007, U of St. Thomas Legal Studies Research Paper No. 07-03, UC Berkeley Public Law Research Paper No. 956953",36,2007-Jan-15,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",659,"63,315",none,"Presidential Power, International Law, Laws of War, Terrorism"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=894117,894117,Rational War and Constitutional Design,"Yale Law Journal, Vol. 115, 2006, UC Berkeley Public Law Research Paper No. 894117, Northwestern Public Law Research Paper No. 894117",32,2006-Mar-30,None,"{'Jide Nzelibe': 'Northwestern University - Pritzker School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",651,"64,332",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1783750,1783750,"Rational Treaties: Article II, Congressional-Executive Agreements, and International Bargaining","Cornell Law Review, Vol. 97, No. 1, 2011, UC Berkeley Public Law Research Paper No. 1783750",36,2011-Mar-13,None,{'John Yoo': 'University of California at Berkeley School of Law'},594,"72,252",none,"treaties, international agreements, bargaining, President, Senate, foreign relations"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4072083,4072083,"Who Counts: The 12th Amendment, the Vice President, and the Electoral Count","Case Western Reserve Law Review, Forthcoming",82,2022-Apr-06,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",584,"73,789",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=945454,945454,Hamdan V. Rumsfeld: The Functional Case for Foreign Affairs Deference to the Executive Branch,"Constitutional Commentary, Vol. 23, p. 179, 2006, Hofstra University Legal Studies Research Paper No. 06-32, UC Berkeley Public Law Research Paper No. 945454",44,2006-Nov-20,None,"{'Julian Ku': 'Hofstra University - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",564,"77,078",none,"customary international law, law of war, statutory interpretation, treaties"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1030761,1030761,Challenges to Civilian Control of the Military: A Rational Choice Approach to the War on Terror,"UCLA Law Review, Vol. 54, 2007, UC Berkeley Public Law Research Paper No. 1030761",32,2007-Nov-20,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'Glenn Sulmasy': 'U.S. Coast Guard Academy'}",561,"77,576",none,"civil-military relations, commander-in-chief, separation of powers, war on terror"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1595148,1595148,What is the Role of International Human Rights in the War on Terror?,"DePaul Law Review, Forthcoming, U of St. Thomas Legal Studies Research Paper No. 10-16, UC Berkeley Public Law Research Paper No. 1595148",49,2010-Apr-24,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",530,"83,254",none,"law of war, law of armed conflict, law of international human rights, International Covenant on Civil and Political Rights, war on terror"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=652141,652141,Beyond Formalism in Foreign Affairs: A Functional Approach to the Alien Tort Statute,"Supreme Court Review, p. 153, 2004, Hofstra Univ. Legal Studies Research Paper No. 04-26, UC Berkeley Public Law Research Paper No. 652141",50,2005-Jan-23,None,"{'Julian Ku': 'Hofstra University - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",516,"86,104",3,"Customary international law, international law, alien tort statute, federal courts, President, separation of powers"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=255304,255304,Laws as Treaties?: The Constitutionality of Congressional-Executive Agreements,,85,2001-Jan-11,None,{'John Yoo': 'University of California at Berkeley School of Law'},487,"92,393",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=801324,801324,Force Rules: Un Reform and Intervention,"Chicago Journal of International Law, Forthcoming, UC Berkeley Public Law Research Paper No. 801324",22,2005-Sep-17,None,{'John Yoo': 'University of California at Berkeley School of Law'},483,"93,310",none,"International law, United Nations, use of force, terrorism, war"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1541583,1541583,"Unitary, Executive, or Both?","University of Chicago Law Review, Vol. 76, 2009, UC Berkeley Public Law Research Paper No. 1541583",84,2010-Jan-26,None,{'John Yoo': 'University of California at Berkeley School of Law'},479,"94,224",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1552395,1552395,Fixing Failed States,UC Berkeley Public Law Research Paper No. 1552395,43,2010-Feb-13,None,{'John Yoo': 'University of California at Berkeley School of Law'},470,"96,432",3,"Failed States, Intervention, U.N. Charter, Enforcement"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=206848,206848,"Kosovo, War Powers, and the Multilateral Future",,41,2000-Mar-08,None,{'John Yoo': 'University of California at Berkeley School of Law'},456,"98,911",1,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=207008,207008,"Kosovo, War Powers, and the Multilateral Future","Pennsylvania Law Review, Vol. 148, No. 5, 2000",,2000-Feb-02,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1133649,1133649,Jefferson and Executive Power,"Boston University Law Review, Vol. 88, No. 2, 2008, UC Berkeley Public Law Research Paper No. 1133649",37,2008-May-15,None,{'John Yoo': 'University of California at Berkeley School of Law'},417,"110,917",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=810864,810864,Thinking About Presidents,"Cornell Law Review, Forthcoming, UC Berkeley Public Law Research Paper No. 810864, U of St. Thomas Legal Studies Research Paper No. 05-17",27,2005-Oct-25,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",400,"116,322",none,"Thomas Jefferson, presidential power, foreign affairs"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1703014,1703014,George Washington and Executive Power,UC Berkeley Public Law Research Paper No. 1703014,31,2010-Nov-06,None,{'John Yoo': 'University of California at Berkeley School of Law'},394,"118,392",1,"presidency, presidential power, separation of powers, leadership"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3004821,3004821,Presidential Authority to Revoke or Reduce National Monument Designations,"Yale Journal on Regulation, Vol. 35, No. 2, 2018, UC Berkeley Public Law Research Pape",31,2017-Jul-22,2017-Aug-15,"{'Todd Gaziano': 'Pacific Legal Foundation', 'John Yoo': 'University of California at Berkeley School of Law'}",387,"120,791",2,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3693312,3693312,You\'re Fired: The Original Meaning of Presidential Impeachment,"Southern California Law Review, Vol. 94, No. 4, 2021",73,2020-Oct-20,2020-Dec-03,"{'James Cleith Phillips': 'Chapman University, The Dale E. Fowler School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",373,"125,993",none,"National Monuments, Antiquities Act, Presidency, Executive Power"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=615962,615962,Peeking Abroad?: The Supreme Court\'s Use of Foreign Precedents in Constitutional Cases,,18,2004-Nov-06,None,{'John Yoo': 'University of California at Berkeley School of Law'},372,"126,347",none,"impeach, Trump, originalism, corpus linguistics"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1015401,1015401,Making War,"Cornell Law Review, Vol. 92, 2007, U of St. Thomas Legal Studies Research Paper No. 07-32, UC Berkeley Public Law Research Paper No. 1015401",44,2007-Sep-19,2008-Aug-10,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",362,"130,241",none,"constitutional law, foreign law, Supreme Court"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=719881,719881,Who\'s so Afraid of the Eleventh Amendment,,45,2005-May-06,None,"{'Jesse H. Choper': 'University of California at Berkeley School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",351,"134,765",none,"Law of war, war powers, constitutional interpretation, originalism"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2350979,2350979,Lincoln at War,"38 Vermont Law Review, 2013, Forthcoming, UC Berkeley Public Law Research Paper No. 2350979",64,2013-Nov-08,None,{'John Yoo': 'University of California at Berkeley School of Law'},341,"139,028",none,"Eleventh Amendment, Sovereign Immunity, Federal Courts"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1030763,1030763,Counterintuitive: Intelligence Operations and International Law,"Michigan Journal of International Law, Vol. 28, 2007, UC Berkeley Public Law Research Paper No. 1030763",14,2007-Nov-20,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'Glenn Sulmasy': 'U.S. Coast Guard Academy'}",333,"142,613",none,"Lincoln, Presidency, Executive Power, Civil War, Commander-in-Chief, Executive Power"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2050051,2050051,From Just War to False Peace,"Chicago Journal of International Law, Forthcoming, U of St. Thomas Legal Studies Research Paper No. 12-42, UC Berkeley Public Law Research Paper No. 2050051",46,2012-May-02,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)'}",328,"144,906",none,"intelligence, covert activity, terrorism"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2233689,2233689,Assassination or Targeted Killings after 9/11,"New York Law School Law Review, Vol. 56, 2012, UC Berkeley Public Law Research Paper No. 2233689",23,2013-Mar-15,None,{'John Yoo': 'University of California at Berkeley School of Law'},317,"150,174",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=268862,268862,The Puzzling Persistence of Process-Based Federalism Theories,,74,2001-May-03,None,"{'Saikrishna Prakash': 'University of Virginia School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",305,"156,484",2,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1505079,1505079,"Lincoln and Habeas: Of Merryman, Milligan, and McCardle","Chapman Law Review, Vol. 12, No. 3, pp. 1-29, 2009, UC Berkeley Public Law Research Paper No. 1505079",29,2009-Nov-22,2009-Dec-19,{'John Yoo': 'University of California at Berkeley School of Law'},302,"158,085",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2936198,2936198,Embracing the Machines: Rationalist War and New Weapons Technologies,"California Law Review, Vol. 105, 2017, UC Berkeley Public Law Research Paper No. 2936198",57,2017-Mar-21,None,{'John Yoo': 'University of California at Berkeley School of Law'},287,"166,684",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=255300,255300,The Scope of the Commerce Clause after Morrison,,22,2001-Jan-11,None,"{'Jesse H. Choper': 'University of California at Berkeley School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",271,"176,763",1,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1401061,1401061,Great Power Security,"Chicago Journal of International Law, 2009, U of St. Thomas Legal Studies Research Paper No. 09-10, UC Berkeley Public Law Research Paper No. 1401061",20,2009-May-08,2009-Dec-23,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",270,"177,402",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2462652,2462652,A Return to Coercion: International Law and New Weapons Technologies,"Hofstra Law Review, Forthcoming, George Mason Law & Economics Research Paper No. 14-28, UC Berkeley Public Law Research Paper No. 2462652",42,2014-Jul-13,2014-Aug-29,"{'Jeremy Rabkin': 'George Mason University School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",240,"199,264",none,"International law, international security, Security Council, United Nations, collective security, law of war, international conflict"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2949078,2949078,A Comparative Examination of Counter-Terrorism Law and Policy,"Journal of Korean Law, Vol. 16, p. 91-144, December 2016, UC Berkeley Public Law Research Paper No. 2949078",54,2017-Apr-20,None,"{'Laurent Mayali': 'University of California, Berkeley - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",229,"208,508",none,"coercion, war, international law, cyberwar, drones, laws of war"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=236845,236845,Choosing Justices,,35,2000-Jul-26,None,{'John Yoo': 'University of California at Berkeley School of Law'},225,"212,123",none,"Terrorism, Security, Comparative Law, Courts, Legislation, United States, Europe, Constitution"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4156868,4156868,Emergency Powers during a Viral Pandemic,New York University Journal of Law & Liberty 2022,37,2022-Jul-08,None,{'John Yoo': 'University of California at Berkeley School of Law'},224,"213,019",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=975315,975315,Wartime Process: A Dialogue on Congressional Power to Remove Issues from the Federal Courts,"California Law Review, Vol. 95, 2007, UC Berkeley Public Law Research Paper No. 975315",54,2007-Mar-27,None,"{'Jesse H. Choper': 'University of California at Berkeley School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",216,"221,407",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=291160,291160,Foreign Affairs Federalism and the Separation of Powers,,9,2001-Nov-21,None,{'John Yoo': 'University of California at Berkeley School of Law'},207,"229,304",none,"federal courts, federal jurisdiction, terrorism, war, habeas corpus"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2573510,2573510,Saving Originalism,"Michigan Law Review, Forthcoming, UC Berkeley Public Law Research Paper No. 2573510, U of St. Thomas (Minnesota) Legal Studies Research Paper No. 16-10",34,2015-Mar-05,None,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",206,"230,330",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2770182,2770182,People \xe2\x89\xa0 Legislature,"Harvard Journal of Law and Public Policy, Vol. 39, No. 2, 2016, Virginia Public Law and Legal Theory Research Paper No. 2016-32, UC Berkeley Public Law Research Paper No. 2770182",31,2016-Apr-27,2016-May-24,"{'Saikrishna Prakash': 'University of Virginia School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",197,"239,781",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3511471,3511471,Rules for the Heavens: The Coming Revolution in Space and the Laws of War,"University of Illinois Law Review, Vol. 2020, No. 1, 2020",72,2020-Jan-16,None,{'John Yoo': 'University of California at Berkeley School of Law'},189,"248,730",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3320079,3320079,Resolution of Territorial Disputes in East Asia: The Case of Dokdo,"Berkeley Journal of International Law (BJIL), Vol. 36, No. 3, 2018",48,2019-Jan-24,None,"{'Laurent Mayali': 'University of California, Berkeley - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",188,"249,855",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1479252,1479252,Administration of War,"Duke Law Journal, Vol. 58, p. 2277, 2009, UC Berkeley Public Law Research Paper No. 1479252",35,2009-Sep-27,None,{'John Yoo': 'University of California at Berkeley School of Law'},177,"263,434",none,law of the sea; territorial disputes; maritime territory; Korea; Japan; Dokdo; Takeshima
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1931123,1931123,Globalization and Structure,"William & Mary Law Review, Vol. 53, 2011, Hofstra Univ. Legal Studies Research Paper No. 11-21, UC Berkeley Public Law Research Paper No. 1931123",50,2011-Sep-21,None,"{'Julian Ku': 'Hofstra University - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",161,"285,576",none,"Civil-Military relations, war power, removal power, administrative law"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3434682,3434682,Asian Territorial Disputes and the 1951 San Francisco Peace Treaty: The Case of Dokdo,18 Chinese Journal of International Law ___ (2019),48,2019-Aug-12,None,"{'Thomas Schwartz': 'Department of Political Science, Vanderbilt University', 'John Yoo': 'University of California at Berkeley School of Law'}",150,"302,769",none,"globalization, constitutional structure, international law"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1131794,1131794,Peace Through Law? The Failure of a Nobel Experiment,"Michigan Law Review, Vol. 106, 2008, U of St. Thomas Legal Studies Research Paper No. 18-17",19,2008-May-14,2008-Jul-17,"{'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)', 'John Yoo': 'University of California at Berkeley School of Law'}",142,"316,436",none,"Territorial Disputes, Asia, Korea, Japan, San Francisco Peace Treaty, Dokdo, Takeshima"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3808739,3808739,Trump @ War,45 Vermont L. Rev. ___ (forthcoming 2021),42,2021-Mar-22,None,{'John Yoo': 'University of California at Berkeley School of Law'},136,"327,302",none,"International law, international security, collective security, law of war, international systems, war and peace"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2591879,2591879,"Bond, the Treaty Power, and the Overlooked Value of Non-Self-Executing Treaties","Notre Dame Law Review, Vol. 90, 2015, Hofstra Univ. Legal Studies Research Paper No. 2015-03, UC Berkeley Public Law Research Paper No. 2591879",25,2015-Apr-09,2015-May-05,"{'Julian Ku': 'Hofstra University - School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",126,"348,718",none,"Trump, War, Presidency, Congress"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4004210,4004210,Maritime Territorial Disputes in Asia and the Relaxation of Cold War Tensions: The Case of Dokdo and the 1965 Japan-Korea Normalization Agreements,20 Chinese Journal of International Law 2022,57,2022-Jan-11,None,"{'Thomas Schwartz': 'Department of Political Science, Vanderbilt University', 'John Yoo': 'University of California at Berkeley School of Law'}",106,"392,164",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2857464,2857464,Questions for the Critics of Judicial Review,"George Washington Law Review, Vol. 72, p. 354, 2003",28,2016-Oct-24,None,"{'Saikrishna Prakash': 'University of Virginia School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",66,"521,173",none,"Dokdo, Korea, Japan, Normalization, Treaties, Interpretation"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2233690,2233690,Can the Government Prohibit Gay Marriage?,"South Texas Law Review, Vol. 50, 2008",20,2013-Mar-15,None,"{'Jesse H. Choper': 'University of California at Berkeley School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",53,"578,976",none,"Judicial Review, Separation of Powers"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2857456,2857456,Against Interpretive Supremacy,"Michigan Law Review, Vol. 103, p. 1539, 2005",29,2016-Oct-24,None,"{'Saikrishna Prakash': 'University of Virginia School of Law', 'John Yoo': 'University of California at Berkeley School of Law'}",32,"699,072",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=331240,331240,Treaty Interpretation and the False Sirens of Delegation,,,2002-Sep-19,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,"Popular Constitutionalism, Judicial Supremacy, Judicial Review, Separation of Powers"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=196609,196609,Treaties and Public Lawmaking: A Textual and Structural Defense of Non-Self-Execution,,,2001-Sep-12,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=186311,186311,Clio at War: The Misuse of History in the War Powers Debate,"University of Colorado Law Review, Vol. 70, pp. 1169-1222, 1999",,2001-May-28,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=269093,269093,"Politics as Law?: The Anti-Ballistic Missile Treaty, the Separation of Powers, and Treaty Interpretation",,,2001-May-07,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=184759,184759,Treaties and Public Lawmaking: A Textual and Structural\r\nDefense of Non-Self-Execution,UC Berkeley Public Law and Legal Theory Working Paper No. 99-6,,1999-Oct-07,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=196608,196608,"Globalism and the Constitution: Treaties, Non-Self-Execution and the Original Understanding",,,2001-Sep-12,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=180068,180068,"Globalism and the Constitution: Treaties, Non-Self-Execution and the Original Understanding",UC Berkeley Public Law and Legal Theory Working Paper No. 99-5,,1999-Oct-06,None,{'John Yoo': 'University of California at Berkeley School of Law'},none,none,none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1757982,1757982,Rules for Growth: Promoting Innovation and Growth Through Legal Reform,"Yale Law & Economics Research Paper No. 426, Stanford Law and Economics Olin Working Paper No. 410, UC Berkeley Public Law Research Paper No. 1757982",513,2011-Feb-08,2014-Feb-20,"{'Robert E. Litan, Yochai Benkler, Henry N. Butler, John Henry Clippinger, Bob Cook-Deegan, Robert D. Cooter, Aaron S. Edlin, Nicole Stelle Garnett, Ronald J. Gilson, Oliver R. Goodenough, Gillian K. Hadfield, Mark A. Lemley, Frank Partnoy, George L. Priest, Larry E. Ribstein, Charles Sabel, Peter H. Schuck, Hal S. Scott, Robert E. Scott, Alex Stein, Victoria Stodden, John E. Tyler, Alan D. Viard': 'affiliation not provided to SSRN', 'Benjamin Wittes': 'Information Science, Ewing Marion Kauffman Foundation, American Enterprise Institute'}","3,155","6,176",1,"entrepreneurship, policy, growth, rules, innovation, immigration, intellectual property, ip, university, business, federal, national, patent"
